"","order","species","adult_body_mass_g","adult_head_body_len_mm","home_range_km2","litter_size"
"1265","Peramelemorphia","Echymipera kalubu",825.16,270.27,0.01,2.07
"1266","Peramelemorphia","Echymipera rufescens",1051.48,452.54,NA,2.18
"1267","Chiroptera","Ectophylla alba",5.55,NA,NA,0.99
"1268","Chiroptera","Eidolon dupreanum",297.58,202.5,NA,1.22
"1269","Chiroptera","Eidolon helvum",254.61,182.58,NA,1.08
"1270","Carnivora","Eira barbara",4134.99,612.64,11.4,2.14
"1271","Artiodactyla","Elaphodus cephalophus",23087.87,NA,NA,1
"1272","Artiodactyla","Elaphurus davidianus",165989.17,NA,NA,1.22
"1273","Rodentia","Elasmodontomys obliquus",13700,NA,NA,NA
"1274","Macroscelidea","Elephantulus brachyrhynchus",45.11,115.62,NA,1.54
"1275","Macroscelidea","Elephantulus edwardii",49.69,118.86,NA,1.8
"1276","Macroscelidea","Elephantulus fuscipes",57,NA,NA,0.96
"1277","Carnivora","Enhydra lutris",27410.93,1435.71,3.43,0.96
"1278","Rodentia","Eoglaucomys fimbriatus",510,NA,NA,3.74
"1279","Rodentia","Eolagurus luteus",26,NA,NA,7.5
"1280","Rodentia","Eolagurus przewalskii",NA,NA,NA,NA
"1281","Chiroptera","Eonycteris major",70.7,NA,NA,1
"1282","Chiroptera","Eonycteris robusta",78.36,NA,NA,NA
"1283","Chiroptera","Eonycteris spelaea",58.7,123.83,NA,1
"1284","Rodentia","Eospalax fontanierii",256.76,NA,NA,NA
"1285","Rodentia","Eospalax rothschildi",NA,NA,NA,NA
"1286","Rodentia","Eospalax smithii",NA,NA,NA,NA
"1287","Rodentia","Eothenomys cachinus",NA,NA,NA,NA
"1288","Rodentia","Eothenomys chinensis",NA,NA,NA,NA
"1289","Rodentia","Eothenomys custos",NA,NA,NA,NA
"1290","Rodentia","Eothenomys melanogaster",19.59,92.88,NA,1.8
"1291","Rodentia","Eothenomys miletus",NA,NA,NA,NA
"1292","Rodentia","Eothenomys olitor",NA,NA,NA,NA
"1293","Rodentia","Eothenomys proditor",NA,NA,NA,NA
"1294","Rodentia","Eothenomys wardi",NA,NA,NA,NA
"1295","Rodentia","Eozapus setchuanus",NA,NA,NA,NA
"1296","Soricomorpha","Episoriculus caudatus",NA,65,NA,4.77
"1297","Soricomorpha","Episoriculus fumidus",6.95,67.39,NA,3.42
"1298","Soricomorpha","Episoriculus leucops",NA,66,NA,NA
"1299","Soricomorpha","Episoriculus macrurus",NA,NA,NA,NA
"1300","Rodentia","Epixerus ebii",520.96,287.54,NA,2
"1301","Chiroptera","Epomophorus angolensis",NA,NA,NA,1
"1302","Chiroptera","Epomophorus crypturus",95.04,NA,NA,0.99
"1303","Chiroptera","Epomophorus gambianus",134.59,159.41,NA,0.98
"1304","Chiroptera","Epomophorus grandis",49.42,135.96,NA,NA
"1305","Chiroptera","Epomophorus labiatus",69.65,94.33,NA,0.99
"1306","Chiroptera","Epomophorus minimus",NA,NA,NA,NA
"1307","Chiroptera","Epomophorus minor",44.76,NA,NA,NA
"1308","Chiroptera","Epomophorus wahlbergi",93.59,131.69,NA,0.99
"1309","Chiroptera","Epomops buettikoferi",135.67,NA,NA,0.98
"1310","Chiroptera","Epomops dobsonii",122.08,NA,NA,NA
"1311","Chiroptera","Epomops franqueti",118.99,135.03,NA,1
"1312","Chiroptera","Eptesicus andinus",NA,NA,NA,NA
"1313","Chiroptera","Eptesicus bobrinskoi",7.54,NA,NA,NA
"1314","Chiroptera","Eptesicus bottae",15.66,NA,NA,NA
"1315","Chiroptera","Eptesicus brasiliensis",9.2,NA,NA,1.46
"1316","Chiroptera","Eptesicus chiriquinus",NA,NA,NA,NA
"1317","Chiroptera","Eptesicus diminutus",5.99,NA,NA,NA
"1318","Chiroptera","Eptesicus dimissus",13.03,NA,NA,NA
"1319","Chiroptera","Eptesicus floweri",NA,NA,NA,NA
"1320","Chiroptera","Eptesicus furinalis",7.7,NA,NA,1.86
"1321","Chiroptera","Eptesicus fuscus",17.49,NA,NA,1.85
"1322","Chiroptera","Eptesicus gobiensis",NA,NA,NA,NA
"1323","Chiroptera","Eptesicus guadeloupensis",NA,NA,NA,NA
"1324","Chiroptera","Eptesicus hottentotus",30.33,NA,NA,NA
"1325","Chiroptera","Eptesicus innoxius",NA,NA,NA,NA
"1326","Carnivora","Genetta servalina",1175.84,486.39,NA,1.5
"1327","Carnivora","Genetta thierryi",1400,418.64,NA,NA
"1328","Carnivora","Genetta tigrina",2066.57,543.37,0.04,2.76
"1329","Carnivora","Genetta victoriae",2743.69,570.78,NA,NA
"1330","Rodentia","Geocapromys brownii",1497.48,378.14,NA,1.73
"1331","Rodentia","Geocapromys ingrahami",733.52,395,NA,1.04
"1332","Rodentia","Geocapromys thoracatus",1500,337.49,NA,NA
"1333","Afrosoricida","Geogale aurita",6.69,71,NA,3.4
"1334","Rodentia","Geomys arenarius",206,172.69,NA,4.71
"1335","Rodentia","Geomys attwateri",144.06,153.54,0.000214131,1.89
"1336","Rodentia","Geomys breviceps",136.47,150.63,NA,2.53
"1337","Rodentia","Geomys bursarius",203.75,177.03,NA,3.14
"1338","Rodentia","Geomys knoxjonesi",172.49,154.46,NA,NA
"1339","Rodentia","Geomys personatus",397,184.41,NA,3.09
"1340","Rodentia","Geomys pinetis",201.15,NA,NA,1.68
"1341","Rodentia","Geomys texensis",NA,165.35,NA,NA
"1342","Rodentia","Geomys tropicalis",349.99,172.85,NA,4
"1343","Rodentia","Georychus capensis",188.36,NA,0.000212281,5.94
"1344","Rodentia","Geoxus valdivianus",30.8,NA,NA,3.4
"1345","Rodentia","Gerbilliscus afra",92.13,NA,NA,3.92
"1346","Rodentia","Gerbilliscus boehmi",NA,NA,NA,4.06
"1347","Rodentia","Gerbilliscus brantsii",89.41,NA,0.000541371,2.74
"1348","Rodentia","Gerbilliscus guineae",102.5,NA,NA,NA
"1349","Rodentia","Gerbilliscus inclusus",118.5,160.75,NA,NA
"1350","Rodentia","Gerbilliscus kempi",100.83,NA,NA,4
"1351","Rodentia","Gerbilliscus leucogaster",73.75,NA,NA,4.5
"1352","Rodentia","Gerbilliscus nigricaudus",123,NA,NA,4.44
"1353","Rodentia","Gerbilliscus phillipsi",127.07,144.99,NA,NA
"1354","Rodentia","Gerbilliscus robustus",95.99,NA,NA,5.26
"1355","Rodentia","Gerbilliscus validus",121,NA,NA,3.94
"1356","Rodentia","Gerbillurus paeba",25.91,93.22,0.01,3.64
"1357","Rodentia","Gerbillurus setzeri",38.29,105.28,NA,NA
"1358","Rodentia","Gerbillurus tytonis",29.79,98.9,NA,4.4
"1359","Rodentia","Gerbillurus vallinus",35.24,98.46,NA,3.87
"1360","Rodentia","Gerbillus acticola",NA,NA,NA,NA
"1361","Rodentia","Gerbillus agag",NA,NA,NA,NA
"1362","Rodentia","Gerbillus amoenus",13.2,NA,NA,NA
"1363","Rodentia","Gerbillus andersoni",27.5,NA,NA,3.89
"1364","Rodentia","Gerbillus aquilus",NA,NA,NA,NA
"1365","Rodentia","Gerbillus brockmani",NA,NA,NA,NA
"1366","Rodentia","Gerbillus burtoni",NA,NA,NA,NA
"1367","Rodentia","Gerbillus cheesmani",28,NA,NA,8
"1368","Rodentia","Gerbillus dongolanus",NA,NA,NA,NA
"1369","Rodentia","Gerbillus dunni",NA,NA,NA,NA
"1370","Rodentia","Gerbillus famulus",NA,NA,NA,NA
"1371","Rodentia","Gerbillus floweri",NA,NA,NA,NA
"1372","Rodentia","Gerbillus garamantis",NA,NA,NA,NA
"1373","Cetacea","Eschrichtius robustus",27324024.19,11831.89,NA,1
"1374","Cetacea","Eubalaena australis",22999999.91,14150,NA,NA
"1375","Cetacea","Eubalaena glacialis",22999999.91,13907.08,NA,1
"1376","Cetacea","Eubalaena japonica",NA,NA,NA,NA
"1377","Rodentia","Euchoreutes naso",NA,NA,NA,NA
"1378","Chiroptera","Euderma maculatum",16.17,NA,NA,1
"1379","Chiroptera","Eudiscopus denticulus",NA,NA,NA,NA
"1380","Artiodactyla","Eudorcas rufifrons",26999.77,885,NA,1
"1381","Chiroptera","Eumops auripendulus",28.49,NA,NA,0.98
"1382","Chiroptera","Eumops bonariensis",12.22,NA,NA,0.99
"1383","Chiroptera","Eumops dabbenei",67.27,NA,NA,NA
"1384","Chiroptera","Eumops glaucinus",36.2,NA,NA,1.04
"1385","Chiroptera","Eumops hansae",15.47,NA,NA,NA
"1386","Chiroptera","Eumops maurus",NA,NA,NA,NA
"1387","Rodentia","Exilisciurus exilis",21.75,83,NA,2.46
"1388","Rodentia","Exilisciurus whiteheadi",24.91,83,NA,1.94
"1389","Chiroptera","Falsistrellus affinis",NA,NA,NA,NA
"1390","Chiroptera","Falsistrellus mackenziei",23,NA,NA,NA
"1391","Chiroptera","Falsistrellus mordax",NA,NA,NA,NA
"1392","Chiroptera","Falsistrellus petersi",NA,NA,NA,NA
"1393","Chiroptera","Falsistrellus tasmaniensis",22.54,NA,NA,NA
"1394","Carnivora","Felis bieti",5486.95,783.95,NA,NA
"1395","Carnivora","Felis catus",2884.8,NA,1.41,NA
"1396","Carnivora","Felis chaus",7157.99,704.16,NA,2.94
"1397","Carnivora","Felis manul",3050,573.28,NA,4.83
"1398","Carnivora","Felis margarita",2823.36,511.33,NA,4.12
"1399","Carnivora","Felis nigripes",1362.77,400.05,NA,1.78
"1400","Rodentia","Graphiurus ocularis",68.8,NA,0.09,4.99
"1401","Rodentia","Graphiurus platyops",46.1,NA,NA,5.17
"1402","Rodentia","Graphiurus rupicola",NA,NA,NA,NA
"1403","Rodentia","Graphiurus surdus",NA,NA,NA,4.99
"1404","Carnivora","Gulo gulo",12792.49,772.1,343.27,2.84
"1405","Diprotodontia","Gymnobelideus leadbeateri",137.32,NA,0.01,1.54
"1406","Rodentia","Gymnuromys roberti",97.5,142.5,NA,1.94
"1407","Rodentia","Habromys chinanteco",40,NA,NA,NA
"1408","Rodentia","Habromys delicatulus",NA,NA,NA,NA
"1409","Rodentia","Habromys ixtlani",NA,NA,NA,NA
"1410","Rodentia","Habromys lepturus",84.99,NA,NA,1.9
"1411","Rodentia","Habromys lophurus",40,NA,NA,NA
"1412","Rodentia","Habromys simulatus",40,NA,NA,NA
"1413","Rodentia","Hadromys humei",NA,NA,NA,NA
"1414","Rodentia","Hadromys yunnanensis",NA,NA,NA,NA
"1415","Rodentia","Haeromys margarettae",NA,75.99,NA,NA
"1416","Rodentia","Haeromys minahassae",NA,NA,NA,NA
"1417","Rodentia","Haeromys pusillus",NA,65,NA,NA
"1418","Carnivora","Halichoerus grypus",197570.01,2079.47,NA,0.96
"1419","Rodentia","Handleyomys fuscatus",49.5,NA,NA,NA
"1420","Rodentia","Handleyomys intectus",60.5,NA,NA,NA
"1421","Primates","Hapalemur alaotrensis",1616.83,NA,NA,NA
"1422","Primates","Hapalemur aureus",1562.41,305.08,0.21,1.01
"1423","Primates","Hapalemur griseus",916,335,0.01,1.5
"1424","Primates","Hapalemur occidentalis",NA,NA,NA,NA
"1425","Rodentia","Hapalomys delacouri",NA,NA,NA,NA
"1426","Rodentia","Hapalomys longicaudatus",70,NA,NA,NA
"1427","Chiroptera","Haplonycteris fischeri",18.25,NA,NA,1
"1428","Chiroptera","Harpiocephalus harpia",13.65,NA,NA,NA
"1429","Chiroptera","Harpiocephalus mordax",NA,NA,NA,NA
"1430","Chiroptera","Harpyionycteris celebensis",116.77,144.16,NA,0.98
"1431","Chiroptera","Harpyionycteris whiteheadi",135.48,152.15,NA,1
"1432","Rodentia","Heimyscus fumosus",17.2,NA,NA,NA
"1433","Carnivora","Helarctos malayanus",57075.78,1220.79,NA,1.1
"1434","Rodentia","Heliophobius argenteocinereus",159.46,154.53,0.000134237,2.46
"1435","Carnivora","Herpestes fuscus",NA,NA,NA,NA
"1436","Carnivora","Herpestes ichneumon",2980.02,573.28,2.18,3
"1437","Carnivora","Herpestes javanicus",750,280.02,0.22,2.21
"1438","Carnivora","Herpestes naso",3002.08,552.74,0.4,NA
"1439","Carnivora","Herpestes semitorquatus",NA,NA,NA,NA
"1440","Carnivora","Herpestes smithii",1702.5,406.27,NA,2.5
"1441","Carnivora","Herpestes urva",2384.19,506.24,NA,3
"1442","Carnivora","Felis silvestris",4573.08,498.51,1.29,3.59
"1443","Rodentia","Felovia vae",205,NA,NA,1
"1444","Cetacea","Feresa attenuata",170000,NA,NA,1
"1445","Soricomorpha","Feroculus feroculus",35.99,NA,NA,NA
"1446","Carnivora","Fossa fossana",1853.98,456.88,0.75,1
"1447","Rodentia","Funambulus layardi",NA,NA,NA,2.43
"1448","Rodentia","Funambulus palmarum",136.4,NA,NA,2.62
"1449","Rodentia","Funambulus pennantii",102.49,NA,0.001374507,2.95
"1450","Rodentia","Funambulus sublineatus",70.93,NA,NA,2
"1451","Rodentia","Funambulus tristriatus",134.62,NA,NA,2.64
"1452","Rodentia","Funisciurus anerythrus",223.54,184.2,NA,1.32
"1453","Rodentia","Funisciurus bayonii",134.99,NA,NA,NA
"1454","Rodentia","Funisciurus carruthersi",276.85,228.31,NA,NA
"1455","Rodentia","Funisciurus congicus",112,146.46,0.003290498,2.44
"1456","Rodentia","Funisciurus isabella",109.31,156.98,NA,0.98
"1457","Rodentia","Funisciurus lemniscatus",140.99,167.4,NA,1.8
"1458","Rodentia","Funisciurus leucogenys",250,NA,NA,0.97
"1459","Rodentia","Funisciurus pyrropus",243.18,204.81,NA,1.26
"1460","Rodentia","Funisciurus substriatus",185.73,183.7,NA,NA
"1461","Chiroptera","Furipterus horrens",3.15,NA,NA,1
"1462","Primates","Galago alleni",266.03,200,0.18,1.29
"1463","Primates","Galago cameronensis",NA,NA,NA,NA
"1464","Primates","Galago demidoff",66.04,120,0.01,1.29
"1465","Primates","Galago gabonensis",NA,NA,NA,NA
"1466","Primates","Galago gallarum",250,NA,NA,NA
"1467","Primates","Galago granti",NA,NA,NA,NA
"1468","Primates","Galago matschiei",211.61,160,NA,0.99
"1469","Primates","Galago moholi",191.96,NA,0.04,1.6
"1470","Primates","Galago nyasae",NA,NA,NA,NA
"1471","Primates","Galago orinus",NA,NA,NA,NA
"1472","Primates","Galago rondoensis",NA,NA,NA,NA
"1473","Primates","Galago senegalensis",215.2,160,0.08,1.5
"1474","Rodentia","Gerbillus henleyi",8,NA,NA,4
"1475","Rodentia","Gerbillus hesperinus",NA,NA,NA,NA
"1476","Rodentia","Gerbillus hoogstraali",NA,NA,NA,NA
"1477","Rodentia","Gerbillus latastei",NA,NA,NA,4.86
"1478","Rodentia","Gerbillus mauritaniae",NA,NA,NA,NA
"1479","Rodentia","Gerbillus mesopotamiae",NA,NA,NA,NA
"1480","Rodentia","Gerbillus muriculus",NA,NA,NA,NA
"1481","Rodentia","Gerbillus nancillus",NA,NA,NA,NA
"1482","Rodentia","Gerbillus nanus",25.5,63.77,NA,3.16
"1483","Rodentia","Gerbillus nigeriae",29.7,NA,NA,NA
"1484","Rodentia","Gerbillus occiduus",NA,NA,NA,NA
"1485","Rodentia","Gerbillus perpallidus",52.22,NA,NA,4.65
"1486","Rodentia","Gerbillus poecilops",NA,NA,NA,NA
"1487","Rodentia","Gerbillus principulus",NA,NA,NA,NA
"1488","Rodentia","Gerbillus pulvinatus",NA,NA,NA,NA
"1489","Rodentia","Gerbillus pusillus",12.55,NA,NA,NA
"1490","Rodentia","Gerbillus pyramidum",42.8,101.71,NA,3.3
"1491","Rodentia","Gerbillus rosalinda",NA,NA,NA,NA
"1492","Rodentia","Gerbillus syrticus",NA,NA,NA,NA
"1493","Rodentia","Gerbillus tarabuli",NA,NA,NA,NA
"1494","Rodentia","Gerbillus vivax",NA,NA,NA,NA
"1495","Rodentia","Gerbillus watersi",NA,NA,NA,NA
"1496","Artiodactyla","Giraffa camelopardalis",964654.73,4177.03,81.52,1.29
"1497","Rodentia","Glaucomys sabrinus",137.53,160.82,0.05,3
"1498","Rodentia","Glaucomys volans",71.9,127.98,0.005345752,3.13
"1499","Chiroptera","Glauconycteris alboguttata",NA,NA,NA,NA
"1500","Chiroptera","Glauconycteris argentata",9.3,NA,NA,NA
"1501","Chiroptera","Glauconycteris beatrix",7.5,NA,NA,NA
"1502","Chiroptera","Glauconycteris curryae",NA,NA,NA,NA
"1503","Chiroptera","Glauconycteris egeria",NA,NA,NA,NA
"1504","Chiroptera","Glauconycteris gleni",10.81,NA,NA,NA
"1505","Chiroptera","Glauconycteris humeralis",5.49,NA,NA,NA
"1506","Chiroptera","Glauconycteris kenyacola",7.17,NA,NA,NA
"1507","Chiroptera","Glauconycteris machadoi",NA,NA,NA,NA
"1508","Chiroptera","Glauconycteris poensis",6.91,NA,NA,NA
"1509","Chiroptera","Glauconycteris superba",NA,NA,NA,NA
"1510","Chiroptera","Glauconycteris variegata",11.25,NA,NA,1.12
"1511","Didelphimorphia","Glironia venusta",114,176.13,NA,NA
"1512","Rodentia","Glirulus japonicus",NA,72.5,NA,4
"1513","Rodentia","Glis glis",128.09,167.08,0.001479636,5.17
"1514","Chiroptera","Glischropus javanus",NA,NA,NA,NA
"1515","Chiroptera","Glischropus tylopus",4.59,NA,NA,1
"1516","Cetacea","Globicephala macrorhynchus",725999.99,6099.99,NA,0.97
"1517","Cetacea","Globicephala melas",8e+05,5685.75,NA,1
"1518","Chiroptera","Glossophaga commissarisi",9.15,NA,NA,0.98
"1519","Chiroptera","Glossophaga leachii",10.24,NA,NA,0.98
"1520","Chiroptera","Glossophaga longirostris",13.32,NA,NA,0.98
"1521","Chiroptera","Glossophaga morenoi",8.54,NA,NA,1
"1522","Chiroptera","Glossophaga soricina",9.97,48.99,NA,1
"1523","Chiroptera","Glyphonycteris behnii",NA,NA,NA,NA
"1524","Chiroptera","Glyphonycteris daviesi",18.61,NA,NA,0.98
"1525","Chiroptera","Glyphonycteris sylvestris",8.91,NA,NA,NA
"1526","Rodentia","Glyphotes simus",NA,120,NA,NA
"1527","Rodentia","Golunda ellioti",60.73,NA,NA,4.83
"1528","Primates","Gorilla beringei",149325.19,NA,NA,NA
"1529","Primates","Gorilla gorilla",112588.99,1594.44,4.03,1.05
"1530","Didelphimorphia","Gracilinanus aceramarcae",20.5,83,NA,NA
"1531","Didelphimorphia","Gracilinanus agilis",22.03,95.33,NA,12
"1532","Didelphimorphia","Gracilinanus agricolai",NA,NA,NA,NA
"1533","Didelphimorphia","Gracilinanus dryas",18.53,95,NA,NA
"1534","Didelphimorphia","Gracilinanus emiliae",7.59,74.52,NA,NA
"1535","Didelphimorphia","Gracilinanus formosus",NA,89.99,NA,NA
"1536","Didelphimorphia","Gracilinanus ignitus",NA,NA,NA,NA
"1537","Didelphimorphia","Gracilinanus marica",23.8,99.15,NA,5.99
"1538","Rodentia","Grammomys gigas",NA,NA,NA,NA
"1539","Rodentia","Grammomys ibeanus",41.19,NA,NA,NA
"1540","Rodentia","Grammomys kuru",NA,NA,NA,NA
"1541","Rodentia","Grammomys macmillani",37.01,NA,NA,NA
"1542","Rodentia","Grammomys minnae",35.99,NA,NA,NA
"1543","Rodentia","Grammomys poensis",50.03,111.65,0.001024808,1.97
"1544","Cetacea","Grampus griseus",387500,NA,NA,0.97
"1545","Rodentia","Graomys centralis",NA,NA,NA,NA
"1546","Rodentia","Graomys domorum",102,NA,NA,NA
"1547","Rodentia","Graomys edithae",40.4,NA,NA,NA
"1548","Rodentia","Graomys griseoflavus",68.32,NA,NA,6.97
"1549","Rodentia","Graphiurus angolensis",NA,NA,NA,NA
"1550","Rodentia","Graphiurus christyi",NA,NA,NA,4.99
"1551","Rodentia","Graphiurus crassicaudatus",NA,NA,NA,3.16
"1552","Rodentia","Graphiurus johnstoni",NA,NA,NA,NA
"1553","Rodentia","Graphiurus kelleni",10.5,NA,NA,4.41
"1554","Rodentia","Graphiurus lorraineus",NA,NA,NA,4.99
"1555","Rodentia","Graphiurus microtis",NA,NA,NA,NA
"1556","Rodentia","Graphiurus monardi",NA,NA,NA,NA
"1557","Rodentia","Graphiurus murinus",20.07,75.63,NA,3
"1558","Rodentia","Graphiurus nagtglasii",30,NA,NA,3.11
"1559","Didelphimorphia","Gracilinanus microtarsus",29.3,91.69,NA,NA
"1560","Rodentia","Grammomys aridulus",NA,NA,NA,NA
"1561","Rodentia","Grammomys buntingi",NA,NA,NA,NA
"1562","Rodentia","Grammomys caniceps",NA,NA,NA,NA
"1563","Rodentia","Grammomys cometes",45,116.81,NA,2.9
"1564","Rodentia","Grammomys dolichurus",41.85,110.27,NA,3.11
"1565","Rodentia","Isthmomys flavidus",NA,NA,NA,NA
"1566","Rodentia","Isthmomys pirrensis",137.71,NA,NA,2.43
"1567","Rodentia","Jaculus blanfordi",NA,NA,NA,3.88
"1568","Rodentia","Jaculus jaculus",59.8,102.18,NA,3.24
"1569","Rodentia","Jaculus orientalis",138.26,NA,NA,2.41
"1570","Rodentia","Juliomys pictipes",22.9,NA,NA,NA
"1571","Rodentia","Juliomys rimofrons",NA,NA,NA,NA
"1572","Rodentia","Juscelinomys candango",97.29,NA,NA,NA
"1573","Rodentia","Juscelinomys guaporensis",NA,NA,NA,NA
"1574","Rodentia","Juscelinomys huanchacae",NA,NA,NA,NA
"1575","Rodentia","Kadarsanomys sodyi",NA,NA,NA,4
"1576","Rodentia","Kannabateomys amblyonyx",599.99,NA,NA,1
"1577","Chiroptera","Kerivoula africana",NA,NA,NA,NA
"1578","Chiroptera","Kerivoula agnella",NA,NA,NA,NA
"1579","Chiroptera","Kerivoula argentata",10.11,NA,NA,NA
"1580","Chiroptera","Kerivoula cuprosa",NA,NA,NA,0.98
"1581","Rodentia","Grammomys dryas",NA,NA,NA,NA
"1582","Rodentia","Heliosciurus gambianus",248.36,196.1,NA,2.91
"1583","Rodentia","Heliosciurus mutabilis",390,NA,NA,NA
"1584","Rodentia","Heliosciurus punctatus",173.85,190.09,NA,NA
"1585","Rodentia","Heliosciurus rufobrachium",332.88,237.29,NA,2
"1586","Rodentia","Heliosciurus ruwenzorii",291,225.32,NA,2.91
"1587","Rodentia","Heliosciurus undulatus",347.33,NA,NA,NA
"1588","Carnivora","Helogale hirtula",484.63,229.75,NA,NA
"1589","Carnivora","Helogale parvula",281.83,201.59,0.21,3.49
"1590","Diprotodontia","Hemibelideus lemuroides",993.59,NA,NA,1
"1591","Afrosoricida","Hemicentetes nigriceps",102.99,NA,NA,2.84
"1592","Afrosoricida","Hemicentetes semispinosus",134,175,NA,5.32
"1593","Erinaceomorpha","Hemiechinus auritus",322.04,210,0.03,3.74
"1594","Erinaceomorpha","Hemiechinus collaris",NA,163.63,NA,3.87
"1595","Carnivora","Hemigalus derbyanus",1262.7,458.63,NA,1.73
"1596","Artiodactyla","Hemitragus hylocrius",74186.41,1385,NA,1.41
"1597","Artiodactyla","Hemitragus jayakari",22210.18,1075,NA,1
"1598","Artiodactyla","Hemitragus jemlahicus",68616.43,NA,NA,1.01
"1599","Carnivora","Herpestes brachyurus",1396.16,414.47,NA,3.49
"1600","Carnivora","Herpestes edwardsi",1304.67,398.22,NA,2
"1601","Rodentia","Heteropsomys antillensis",NA,NA,NA,NA
"1602","Rodentia","Heteropsomys insulans",NA,NA,NA,NA
"1603","Artiodactyla","Hexaprotodon liberiensis",235001.16,1600,0.72,1
"1604","Rodentia","Hexolobodon phenax",NA,NA,NA,NA
"1605","Artiodactyla","Hippocamelus antisensis",68599.35,1550,NA,1
"1606","Artiodactyla","Hippocamelus bisulcus",69240.81,1550,0.86,1
"1607","Artiodactyla","Hippopotamus amphibius",1536310.4,NA,NA,1
"1608","Chiroptera","Hipposideros abae",NA,NA,NA,1.5
"1609","Chiroptera","Hipposideros armiger",49.99,NA,NA,NA
"1610","Chiroptera","Hipposideros ater",5.86,NA,NA,0.99
"1611","Chiroptera","Hipposideros beatus",6.7,NA,NA,NA
"1612","Chiroptera","Hipposideros bicolor",8.39,NA,NA,0.99
"1613","Chiroptera","Hipposideros breviceps",NA,NA,NA,NA
"1614","Chiroptera","Hipposideros caffer",9.46,54.99,NA,0.99
"1615","Chiroptera","Hipposideros calcaratus",NA,NA,NA,NA
"1616","Chiroptera","Hipposideros camerunensis",NA,NA,NA,NA
"1617","Chiroptera","Hipposideros cervinus",8.51,NA,NA,NA
"1618","Chiroptera","Hipposideros cineraceus",3.84,NA,NA,0.98
"1619","Chiroptera","Hipposideros commersoni",89.99,127.5,NA,0.99
"1620","Chiroptera","Hipposideros coronatus",NA,NA,NA,NA
"1621","Chiroptera","Hipposideros corynophyllus",15.07,NA,NA,NA
"1622","Chiroptera","Hipposideros coxi",NA,NA,NA,NA
"1623","Chiroptera","Hipposideros crumeniferus",NA,NA,NA,NA
"1624","Chiroptera","Hipposideros curtus",NA,NA,NA,NA
"1625","Chiroptera","Hipposideros cyclops",32.92,75.99,NA,1
"1626","Chiroptera","Hipposideros demissus",NA,NA,NA,NA
"1627","Chiroptera","Hipposideros diadema",46.9,NA,NA,1
"1628","Chiroptera","Hipposideros dinops",NA,NA,NA,NA
"1629","Chiroptera","Hipposideros doriae",4.24,NA,NA,NA
"1630","Chiroptera","Hipposideros durgadasi",NA,NA,NA,NA
"1631","Chiroptera","Hipposideros dyacorum",NA,NA,NA,NA
"1632","Chiroptera","Hipposideros edwardshilli",NA,NA,NA,NA
"1633","Chiroptera","Hipposideros fuliginosus",NA,NA,NA,NA
"1634","Chiroptera","Hipposideros fulvus",8.83,NA,NA,1
"1635","Chiroptera","Hipposideros galeritus",10.17,NA,NA,0.99
"1636","Chiroptera","Hipposideros gigas",115.42,NA,NA,1
"1637","Chiroptera","Hipposideros grandis",NA,NA,NA,NA
"1638","Chiroptera","Hipposideros halophyllus",4,NA,NA,NA
"1639","Chiroptera","Hipposideros hypophyllus",NA,NA,NA,NA
"1640","Chiroptera","Hipposideros inexpectatus",NA,NA,NA,NA
"1641","Chiroptera","Hipposideros inornatus",25.9,NA,NA,NA
"1642","Chiroptera","Hipposideros jonesi",5.49,NA,NA,NA
"1643","Chiroptera","Hipposideros lamottei",NA,NA,NA,NA
"1644","Chiroptera","Hipposideros lankadiva",44.76,NA,NA,0.99
"1645","Chiroptera","Hipposideros larvatus",19.95,NA,NA,0.98
"1646","Chiroptera","Hipposideros lekaguli",31.08,NA,NA,NA
"1647","Chiroptera","Hipposideros lylei",40,NA,NA,NA
"1648","Chiroptera","Hipposideros macrobullatus",NA,NA,NA,NA
"1649","Chiroptera","Hipposideros madurae",NA,NA,NA,NA
"1650","Chiroptera","Hipposideros maggietaylorae",16.1,NA,NA,NA
"1651","Chiroptera","Hipposideros marisae",NA,NA,NA,NA
"1652","Chiroptera","Hipposideros megalotis",NA,NA,NA,NA
"1653","Chiroptera","Hipposideros muscinus",NA,NA,NA,NA
"1654","Chiroptera","Hipposideros nequam",NA,NA,NA,NA
"1655","Chiroptera","Hipposideros obscurus",9.6,NA,NA,NA
"1656","Chiroptera","Hipposideros orbiculus",NA,NA,NA,NA
"1657","Chiroptera","Hipposideros papua",NA,NA,NA,NA
"1658","Chiroptera","Hipposideros pelingensis",NA,NA,NA,NA
"1659","Chiroptera","Hipposideros pomona",6.2,NA,NA,NA
"1660","Chiroptera","Hipposideros pratti",NA,NA,NA,NA
"1661","Chiroptera","Hipposideros pygmaeus",3.53,NA,NA,NA
"1662","Chiroptera","Hipposideros ridleyi",9.59,NA,NA,0.98
"1663","Chiroptera","Hipposideros rotalis",NA,NA,NA,NA
"1664","Chiroptera","Hipposideros ruber",10.61,NA,NA,1
"1665","Chiroptera","Hipposideros scutinares",NA,NA,NA,NA
"1666","Chiroptera","Hipposideros semoni",14,NA,NA,NA
"1667","Chiroptera","Hipposideros sorenseni",NA,NA,NA,NA
"1668","Chiroptera","Hipposideros speoris",10.39,NA,NA,0.99
"1669","Chiroptera","Hipposideros stenotis",12,NA,NA,NA
